phulangsunguy	phulangsu/NPR+nguy/PAN
luno	luno/NPR
catongcha	catongcha/NNC
kulwupngun	kulwup/NNC+ngun/PAU
tangumcwu	tangumcwu/NNC
kimtaycwung	kimtaycwung/NPR
taythonglyengnguy	taythonglyeng/NNC+nguy/PAN
phulangsu	phulangsu/NPR
pangmwun	pangmwun/NNC
cwung	cwung/NNC
hankwuk	hankwuk/NPR
samsengcatongcha	samseng/NPR+catongcha/NNC
nginswulul	nginswu/NNC+ngul/PCA
kongsik	kongsik/NNC
ceynguyhalci	ceynguy/NNC+ha/XSV+ngul/EAN+ci/NNX
moluntako	molu/VV+nunta/EFN+ko/PAD
lunosanguy	luno/NPR+sa/XSF+nguy/PAN
han	han/NNU
kwankyeycaka	kwankyeyca/NNC+ngi/PCA
1	1/NNU
ngil	ngil/NNX
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
lunosanguy	luno/NPR+sa/XSF+nguy/PAN
samsengcha	samseng/NPR+cha/NNC
nginswumwunceylul	nginswu/NNC+mwuncey/NNC+ngul/PCA
mathko	math/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
cang-malukhu	cang-malukhu/NPR
luphwunun	luphwu/NPR+ngun/PAU
nginal	nginal/NNC
kicatulngeykey	kica/NNC+tul/XSF+ngeykey/PAD
lunoka	luno/NPR+ngi/PCA
samsengcha	samseng/NPR+cha/NNC
nginswulul	nginswu/NNC+ngul/PCA
kongsik	kongsik/NNC
ceynguyhaki	ceynguy/NNC+ha/XSV+ki/ENM
ngwihan	ngwiha/VV+ngun/EAN
sangepkyeyhoykselul	sangep/NNC+kyeyhoykse/NNC+ngul/PCA
mamwulicwungngey	mamwuli/NNC+cwung/NNC+ngey/PAD
ngisstamyense	ngiss/VX+ta/EFN+myense/ECS
ngilehan	ngilehan/DAN
nginswu	nginswu/NNC
ceynguyka	ceynguy/NNC+ngi/PCA
tangumcwu	tangumcwu/NNC
kimtaycwung	kimtaycwung/NPR
taythonglyengnguy	taythonglyeng/NNC+nguy/PAN
phulangsu	phulangsu/NPR
pangmwun	pangmwun/NNC
cwung	cwung/NNC
ngilwecil	ngilwu/VV+nge/ECS+ci/VX+ngul/EAN
swu	swu/NNX
ngisstako	ngiss/VX+ta/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kunun	ku/NPN+ngun/PAU
lunoka	luno/NPR+ngi/PCA
3	3/NNU
ngwelmalkkaci	ngwel/NNX+mal/NNX+kkaci/PAU
nginswuceynguy	nginswu/NNC+ceynguy/NNC
sihanngul	sihan/NNC+ngul/PCA
kacko	kac/VV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
tespwuthngyessta	tespwuthngi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
lunonun	luno/NPR+ngun/PAU
cinan	cinan/DAN
1	1/NNU
ngwel	ngwel/NNX
samsengchangwa	samseng/NPR+cha/NNC+kwa/PAD
paythacekngin	paytha/NNC+cek/XSF+ngi/CO+ngun/EAN
nginswuhyepsangngul	nginswu/NNC+hyepsang/NNC+ngul/PCA
pelngiko	pelngi/VV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
palphyohayssnuntey	palphyo/NNC+ha/XSV+ngess/EPF+nuntey/ECS
hankwuk	hankwuk/NPR
ngenlontulngey	ngenlon/NNC+tul/XSF+ngey/PAD
ttalumyen	ttalu/VV+ngumyen/ECS
samsengchanguy	samseng/NPR+cha/NNC+nguy/PAN
kachinun	kachi/NNC+ngun/PAU
1	1/NNU
congwenngulo	co/NNU+ngwen/NNX+ngulo/PAD
chwusantoyko	chwusan/NNC+toy/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
ngyungeynngun	ngyungeyn/NPR+ngun/PAU
cinan	cinan/DAN
90	90/NNU
nyen	nyen/NNX
tayngilakhu	tay/DAN+ngilakhu/NPR
pongswaycochilul	pongsway/NNC+cochi/NNC+ngul/PCA
chwihan	chwiha/VV+ngun/EAN
hwu	hwu/NNC
chengumngulo	chengum/NNC+ngulo/PAD
1	1/NNU
ngil	ngil/NNX
sangwutingalapinganguy	sangwutingalapinga/NPR+nguy/PAN
meykha	meykha/NPR
swunlyeylul	swunlyey/NNC+ngul/PCA
ngwihan	ngwiha/VV+ngun/EAN
ngilakhu	ngilakhu/NPR
hangkongkinguy	hangkongki/NNC+nguy/PAN
chwulhangngul	chwulhang/NNC+ngul/PCA
hengyonghayssta	hengyong/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
nginal	nginal/NNC
ngilakhu	ngilakhu/NPR
hangkongnguy	hangkong/NNC+nguy/PAN
ngillyusin	ngillyusin/NPR
76	76/NNU
kinun	ki/NNX+ngun/PAU
ngilakhunguy	ngilakhu/NPR+nguy/PAN
congkyocangkwan	congkyo/NNC+cangkwan/NNC
ngapteyl	ngapteyl/NPR
moneyngim	moneyngim/NPR
salleyngwa	salley/NPR+kwa/PAD
117	117/NNU
myengnguy	myeng/NNX+nguy/PAN
swunlyeycalul	swunlyeyca/NNC+ngul/PCA
thayngwuko	thayngwu/VV+ko/ECS
pakutatu	pakutatu/NPR
nginkunnguy	nginkun/NNC+nguy/PAN
ngal	ngal/NNC
lasitu	lasitu/NPR
kongkwun	kongkwun/NNC
pihayngcangngul	pihayngcang/NNC+ngul/PCA
ngilyuk	ngilyuk/NNC
,	,/SCM
meykhanguy	meykha/NPR+nguy/PAN
kwanmwunngin	kwanmwun/NNC+ngi/CO+ngun/EAN
sangwutinguy	sangwuti/NPR+nguy/PAN
ceytakonghangngey	ceyta/NPR+konghang/NNC+ngey/PAD
tochakhayssta	tochak/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngilakhu	ngilakhu/NPR
hangkongnguy	hangkong/NNC+nguy/PAN
lapin	lapin/NPR
mohamatu	mohamatu/NPR
salley	salley/NPR
sacangngun	sacang/NNC+ngun/PAU
ngal	ngal/NPR
lasitukonghangngeyse	lasitu/NPR+konghang/NNC+ngeyse/PAD
kicatulngeykey	kica/NNC+tul/XSF+ngeykey/PAD
ngyak	ngyak/DAN
400	400/NNU
myengnguy	myeng/NNX+nguy/PAN
swunlyeycatulngul	swunlyeyca/NNC+tul/XSF+ngul/PCA
silngenaluki	silngenalu/VV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
nginal	nginal/NNC
3-4	3-4/NNU
hoynguy	hoy/NNX+nguy/PAN
pihayngphyenngi	pihayng/NNC+phyen/XSF+ngi/PCA
chwukalo	chwuka/NNC+ngulo/PAD
malyentoyl	malyen/NNC+toy/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngilakhunun	ngilakhu/NPR+ngun/PAU
cinanhay	cinanhay/NNC
nulkkena	nulk/VV+kena/ECS
pyengtun	pyengtul/VV+ngun/EAN
swunlyeyca	swunlyeyca/NNC
345	345/NNU
myengngul	myeng/NNX+ngul/PCA
ngyungeynnguy	ngyungeyn/NPR+nguy/PAN
hekangepsngi	heka/NNC+ngepsngi/ADV
pihayngkingey	pihayngki/NNC+ngey/PAD
thayngweponaymngulosse	thayngweponay/VV+ngum/ENM+ngulosse/PAD
ngyungeynnguy	ngyungeyn/NPR+nguy/PAN
kongcwungpongsway	kongcwung/NNC+pongsway/NNC
cochingey	cochi/NNC+ngey/PAD
tocenhakito	tocen/NNC+ha/XSV+ki/ENM+to/PAU
hayssta	ha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
hanphyen	hanphyen/ADC
8	8/NNU
taynguy	tay/NNX+nguy/PAN
pesungey	pesu/NNC+ngey/PAD
nanwe	nanwu/VV+nge/ECS
than	tha/VV+ngun/EAN
ngilakhu	ngilakhu/NPR
swunlyeyca	swunlyeyca/NNC
240	240/NNU
myengngi	myeng/NNX+ngi/PCA
cinantal	cinantal/NNC
29	29/NNU
ngil	ngil/NNX
cenyek	cenyek/NNC
kwukkyengngul	kwukkyeng/NNC+ngul/PCA
kenne	kenne/VV+nge/ECS
sangwutilo	sangwuti/NPR+ngulo/PAD
tulngengwasstako	tulngengo/VV+ngess/EPF+ta/EFN+ko/PAD
sangwutinguy	sangwuti/NPR+nguy/PAN
SPA	SPA/NFW
thongsinngi	thongsin/NNC+ngi/PCA
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngyungeyn	ngyungeyn/NPR
ngancenpocangngisahoynguy	ngancen/NNC+pocang/NNC+ngisahoy/NNC+nguy/PAN
5	5/NNU
kay	kay/NNX
sangngimngisakwukngun	sangngim/NNC+ngisakwuk/NNC+ngun/PAU
ngilakhunguy	ngilakhu/NPR+nguy/PAN
sekngyu	sekngyu/NNC
swuchwul	swuchwul/NNC
cakum	cakum/NNC
cwung	cwung/NNC
meykha	meykha/NPR
swunlyey	swunlyey/NNC
pingyongngul	pingyong/NNC+ngul/PCA
cwungngangngunhayngngulo	cwungngang/NNC+ngunhayng/NNC+ngulo/PAD
ngicenhaci	ngicen/NNC+ha/XSV+ci/ECS
nganhko	nganh/VX+ko/ECS
sangyonghatolok	sangyong/NNC+ha/XSV+tolok/ECS
hengyonghacanun	hengyong/NNC+ha/XSV+ca/EFN+nun/EAN
khophi	khophi/NPR
nganan	nganan/NPR
ngyungeyn	ngyungeyn/NPR
samwuchongcangnguy	samwuchongcang/NNC+nguy/PAN
ceynganngey	ceyngan/NNC+ngey/PAD
tayhay	tayha/VV+nge/ECS
kyellonngul	kyellon/NNC+ngul/PCA
naylici	nayli/VV+ci/ECS
moshako	mosha/VX+ko/ECS
ngissnun	ngiss/VX+nun/EAN
sangthayta	sangthay/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
nangicilinga	nangicilinga/NPR
nampwu	nampwu/NNC
ngapa	ngapa/NPR
mangulngeyse	mangul/NNC+ngeyse/PAD
congcokkannguy	congcok/NNC+kan/XSF+nguy/PAN
ngyuhyelpwunkyulo	ngyuhyel/NNC+pwunkyu/NNC+ngulo/PAD
450	450/NNU
myengnguy	myeng/NNX+nguy/PAN
hosacok	hosa/NPR+cok/XSF
cwuminngi	cwumin/NNC+ngi/PCA
ngipocok	ngipo/NPR+cok/XSF
cwuminngey	cwumin/NNC+ngey/PAD
nguyhay	nguyha/VV+nge/ECS
salhaytwaysstako	salhay/NNC+toy/XSV+ngess/EPF+ta/EFN+ko/PAD
han	ha/VV+ngun/EAN
kwunsasosikthongngi	kwunsa/NNC+sosikthong/NNC+ngi/PCA
1	1/NNU
ngil	ngil/NNX
AFP	AFP/NFW
thongsinngey	thongsin/NNC+ngey/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
