	XSV	PAU	XPF	PCJ	XSJ	PAD	NNUx	EPF	PCA	PAN	SCM	EAN	<s>	DAN	NNC	ECS	NNX	XSf	NNU	EAU	ADV	CO	VV	VJ	ENM	SLQ	NFW	SRQ	ADC	EFN	XFP	VX	NPN	SSY	SFN	IJ	XSF	NPR
XSV	-9.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-2.087824	-10.964341	-10.964341	-10.964341	-1.494699	-10.964341	-10.964341	-10.964341	-1.745172	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-4.306129	-10.964341	-10.964341	-10.964341	-10.964341	-4.504909	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	-10.964341	
PAU	-10.741467	-7.571542	-7.741467	-10.741467	-10.741467	-8.156504	-9.741467	-10.741467	-7.156504	-10.741467	-9.741467	-10.741467	-10.741467	-4.171611	-1.323614	-10.741467	-10.741467	-10.741467	-3.332076	-10.741467	-3.883486	-10.741467	-4.141554	-5.349150	-10.741467	-4.141554	-6.934112	-10.741467	-5.217905	-10.741467	-10.741467	-5.986579	-5.697073	-10.741467	-10.741467	-10.741467	-10.741467	-2.883486	
XPF	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-1.485427	-6.614710	-5.029747	-6.614710	-4.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-6.614710	-2.155278	
PCJ	-8.308339	-8.308339	-6.308339	-8.308339	-8.308339	-8.308339	-8.308339	-8.308339	-8.308339	-8.308339	-7.308339	-8.308339	-8.308339	-5.500984	-1.220876	-8.308339	-8.308339	-8.308339	-4.723377	-8.308339	-7.308339	-8.308339	-7.308339	-7.308339	-8.308339	-8.308339	-6.308339	-8.308339	-8.308339	-8.308339	-8.308339	-8.308339	-7.308339	-8.308339	-8.308339	-8.308339	-8.308339	-1.437974	
XSJ	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-4.960829	-7.768184	-7.768184	-7.768184	-0.873367	-7.768184	-7.768184	-7.768184	-3.013297	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-2.813988	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	-7.768184	
PAD	-11.545930	-4.062114	-10.545930	-11.545930	-11.545930	-11.545930	-11.545930	-11.545930	-11.545930	-5.902074	-8.376005	-11.545930	-11.545930	-6.545930	-1.336476	-11.545930	-9.545930	-11.545930	-4.447898	-11.545930	-4.764570	-10.545930	-1.719381	-6.260528	-11.545930	-6.188378	-6.902074	-11.545930	-10.545930	-11.545930	-11.545930	-6.902074	-7.738575	-11.545930	-11.545930	-11.545930	-11.545930	-3.852443	
NNUx	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-4.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	
EPF	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-4.727920	-10.187352	-10.187352	-10.187352	-3.367173	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-6.379997	-10.187352	-10.187352	-10.187352	-10.187352	-0.278959	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	-10.187352	
PCA	-11.604553	-10.604553	-9.019591	-11.604553	-11.604553	-11.604553	-11.604553	-11.604553	-11.604553	-11.604553	-9.282625	-11.604553	-11.604553	-6.746572	-1.047090	-11.604553	-10.604553	-11.604553	-4.454806	-11.604553	-4.517090	-11.604553	-1.676775	-4.975197	-11.604553	-7.145122	-8.282625	-11.604553	-11.604553	-11.604553	-11.604553	-6.904114	-7.904114	-11.604553	-11.604553	-11.604553	-11.604553	-4.721910	
PAN	-10.156083	-10.156083	-6.986158	-10.156083	-10.156083	-10.156083	-10.156083	-10.156083	-10.156083	-10.156083	-10.156083	-10.156083	-10.156083	-5.696651	-0.366549	-10.156083	-9.156083	-10.156083	-4.298102	-10.156083	-9.156083	-10.156083	-7.834155	-7.571121	-10.156083	-6.455643	-6.986158	-10.156083	-9.156083	-10.156083	-9.156083	-10.156083	-8.571121	-10.156083	-10.156083	-10.156083	-10.156083	-3.526726	
SCM	-8.867279	-8.867279	-7.867279	-8.867279	-8.867279	-8.867279	-8.867279	-8.867279	-8.867279	-8.867279	-8.867279	-8.867279	-8.867279	-5.545351	-1.112391	-8.867279	-8.867279	-8.867279	-5.059924	-8.867279	-5.697354	-8.867279	-7.867279	-7.867279	-8.867279	-5.407847	-6.545351	-8.867279	-6.545351	-8.867279	-8.867279	-8.867279	-6.059924	-8.867279	-8.867279	-8.867279	-8.867279	-1.563498	
EAN	-11.220378	-11.220378	-8.413023	-11.220378	-11.220378	-11.220378	-11.220378	-11.220378	-11.220378	-11.220378	-11.220378	-11.220378	-11.220378	-6.696816	-0.886105	-11.220378	-2.001210	-11.220378	-4.696816	-11.220378	-9.635416	-11.220378	-10.220378	-7.635416	-11.220378	-6.132915	-7.132915	-8.898450	-10.220378	-11.220378	-10.220378	-10.220378	-9.635416	-11.220378	-11.220378	-11.220378	-11.220378	-3.127621	
<s>	-10.020980	-10.020980	-7.699052	-10.020980	-10.020980	-10.020980	-10.020980	-10.020980	-10.020980	-10.020980	-10.020980	-10.020980	-10.020980	-4.090243	-2.207199	-10.020980	-10.020980	-10.020980	-5.020980	-10.020980	-5.114089	-10.020980	-9.020980	-9.020980	-10.020980	-8.436017	-5.699052	-10.020980	-3.773052	-10.020980	-10.020980	-10.020980	-3.513185	-10.020980	-10.020980	-10.020980	-10.020980	-1.156794	
DAN	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-7.903882	-0.949686	-8.903882	-7.903882	-8.903882	-1.477617	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-6.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-8.903882	-4.655954	
NNC	-2.787963	-4.015768	-10.723128	-6.313737	-6.231275	-3.265747	-13.723128	-13.723128	-2.572111	-4.635665	-5.728774	-13.723128	-13.723128	-9.401200	-1.829826	-13.723128	-6.168539	-12.723128	-5.651665	-13.723128	-9.263696	-5.877638	-8.168539	-9.138165	-13.723128	-7.494309	-9.635665	-6.573381	-7.890238	-13.723128	-13.723128	-11.723128	-12.138165	-11.723128	-12.138165	-13.723128	-4.247394	-5.706319	
ECS	-11.076148	-5.403722	-9.491185	-11.076148	-11.076148	-11.076148	-11.076148	-11.076148	-11.076148	-11.076148	-6.268793	-8.491185	-11.076148	-5.193504	-1.788435	-10.076148	-10.076148	-11.076148	-4.847329	-11.076148	-5.243258	-11.076148	-5.010058	-7.076148	-11.076148	-4.552586	-7.754219	-8.754219	-8.754219	-11.076148	-11.076148	-1.446791	-5.552586	-11.076148	-11.076148	-11.076148	-11.076148	-3.439523	
NNX	-11.133784	-4.275803	-9.548822	-7.133784	-10.133784	-2.625990	-11.133784	-11.133784	-3.145100	-4.326429	-6.610222	-11.133784	-11.133784	-7.133784	-2.254201	-10.133784	-5.133784	-11.133784	-4.533872	-11.133784	-7.548822	-3.715932	-5.179588	-4.885857	-11.133784	-6.226894	-8.326429	-4.758745	-10.133784	-11.133784	-11.133784	-5.885857	-10.133784	-11.133784	-11.133784	-11.133784	-5.133784	-3.934112	
XSf	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-4.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	
